epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,3883,0.8628,0.53764,1.12453,0.02921,0.96936,0.95169,0.98235,0.80969,0.59584,0.39151,0.9963,0.00687,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,4033.52,0.85939,0.53366,1.12245,0.02981,0.96996,0.95424,0.98342,0.80953,0.60979,0.38565,0.99761,0.00795,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,4183.48,0.85048,0.5253,1.1114,0.02748,0.96913,0.95684,0.98345,0.81055,0.59224,0.37968,0.98297,0.00736,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,4335.46,0.84348,0.52533,1.10715,0.02678,0.96837,0.95549,0.98376,0.80857,0.60908,0.38248,1.00827,0.01005,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,4487.82,0.8338,0.5188,1.10521,0.02475,0.96827,0.95858,0.98372,0.81406,0.58665,0.37995,0.98878,0.00672,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,4637.02,0.83339,0.51794,1.10499,0.02463,0.96992,0.95551,0.98372,0.81588,0.58197,0.37113,0.98101,0.00552,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,4790.73,0.83541,0.51806,1.10755,0.02475,0.96916,0.95727,0.98388,0.81537,0.57777,0.37364,0.97783,0.0059,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,4940.04,0.82169,0.51313,1.09549,0.02206,0.96718,0.95866,0.98444,0.81854,0.5716,0.3643,0.97913,0.00498,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,5091.85,0.81236,0.50705,1.09323,0.02214,0.97035,0.95896,0.98365,0.81841,0.57085,0.36037,0.97799,0.00423,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,5239.83,0.81522,0.50542,1.0915,0.02151,0.97233,0.95767,0.98497,0.81973,0.5706,0.35698,0.97635,0.0045,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,5389.2,0.80924,0.50446,1.09489,0.0214,0.97137,0.95463,0.98394,0.82126,0.55856,0.36193,0.97313,0.004,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,5539.05,0.81303,0.50524,1.08822,0.02138,0.96532,0.95883,0.98353,0.82186,0.56008,0.35703,0.96844,0.00387,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,5684.75,0.79706,0.49729,1.09051,0.02029,0.97075,0.95854,0.98428,0.82395,0.5517,0.35335,0.96618,0.00423,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,5825.81,0.80059,0.49818,1.08527,0.02071,0.97033,0.9585,0.98459,0.82269,0.56075,0.35399,0.97236,0.00409,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,5960.67,0.79182,0.49351,1.08031,0.01943,0.973,0.9601,0.98536,0.82411,0.55062,0.34764,0.96728,0.00362,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,6101.56,0.79259,0.49071,1.08053,0.01971,0.97141,0.96159,0.98466,0.82539,0.54453,0.34542,0.96082,0.00372,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,6240.37,0.79163,0.48937,1.08102,0.01923,0.96927,0.96343,0.98528,0.82662,0.54478,0.34418,0.95917,0.00294,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,6379.77,0.7864,0.48914,1.07725,0.01844,0.97081,0.9636,0.9853,0.82732,0.54839,0.34009,0.95809,0.00367,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,6517.63,0.78296,0.48378,1.07215,0.01791,0.97603,0.96006,0.98549,0.82831,0.54114,0.33969,0.95858,0.00367,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,6652.87,0.78373,0.48387,1.07605,0.0188,0.97186,0.96215,0.98539,0.8282,0.53574,0.33713,0.95599,0.0035,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,6792.9,0.77886,0.47814,1.07266,0.01756,0.97508,0.96115,0.98532,0.82824,0.53892,0.33689,0.95804,0.00308,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,6928.81,0.76937,0.47292,1.07074,0.01654,0.97201,0.96268,0.98557,0.82937,0.5341,0.33376,0.95613,0.00283,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,7067.59,0.76314,0.47235,1.06745,0.01678,0.97339,0.96249,0.98587,0.83055,0.52841,0.33137,0.95462,0.00333,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,7204.51,0.76515,0.47242,1.06812,0.0174,0.97604,0.96015,0.98615,0.83082,0.53145,0.32988,0.95141,0.00296,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
